pmid,type,source,full_text_path,in_included_set
33738536,incomplete,/home/zorro/repos/autonima-results/projects/cue_reactivity/ace_outputs,/home/zorro/repos/autonima-results/projects/cue_reactivity/ace_outputs/html/Psychopharmacology/33738536.html,True
34147511,incomplete,/home/zorro/repos/autonima-results/projects/cue_reactivity/ace_outputs,/home/zorro/repos/autonima-results/projects/cue_reactivity/ace_outputs/html/Physiology & behavior/34147511.html,True
34585396,incomplete,/home/zorro/repos/autonima-results/projects/cue_reactivity/ace_outputs,"/home/zorro/repos/autonima-results/projects/cue_reactivity/ace_outputs/html/Alcoholism, clinical and experimental research/34585396.html",True
36758371,incomplete,/home/zorro/repos/autonima-results/projects/cue_reactivity/ace_outputs,/home/zorro/repos/autonima-results/projects/cue_reactivity/ace_outputs/html/Drug and alcohol dependence/36758371.html,True
37401734,incomplete,/home/zorro/repos/autonima-results/projects/cue_reactivity/ace_outputs,/home/zorro/repos/autonima-results/projects/cue_reactivity/ace_outputs/html/Journal of neuroscience research/37401734.html,True
37434487,incomplete,/home/zorro/repos/autonima-results/projects/cue_reactivity/ace_outputs,/home/zorro/repos/autonima-results/projects/cue_reactivity/ace_outputs/html/The American journal of psychiatry/37434487.html,True
37556131,incomplete,/home/zorro/repos/autonima-results/projects/cue_reactivity/ace_outputs,/home/zorro/repos/autonima-results/projects/cue_reactivity/ace_outputs/html/JAMA psychiatry/37556131.html,True
39485856,incomplete,/home/zorro/repos/autonima-results/projects/cue_reactivity/ace_outputs,/home/zorro/repos/autonima-results/projects/cue_reactivity/ace_outputs/html/Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco/39485856.html,True
10553492,unavailable,pubget,,False
10796494,unavailable,pubget,,False
10796505,unavailable,pubget,,False
10796558,unavailable,pubget,,False
10908462,unavailable,pubget,,False
11686953,unavailable,pubget,,False
12519537,unavailable,pubget,,False
12697627,unavailable,pubget,,False
14660070,unavailable,pubget,,False
15100605,unavailable,pubget,,False
15266423,unavailable,pubget,,False
15355757,unavailable,pubget,,False
15464121,unavailable,pubget,,False
15585037,unavailable,pubget,,False
15674895,unavailable,pubget,,False
15833231,unavailable,pubget,,False
15850502,unavailable,pubget,,False
16625620,unavailable,pubget,,False
17088500,unavailable,pubget,,False
17643131,unavailable,pubget,,False
17846151,unavailable,pubget,,False
18164583,unavailable,pubget,,False
18312035,unavailable,pubget,,False
18461548,unavailable,pubget,,False
18985597,unavailable,pubget,,False
19240054,unavailable,pubget,,False
19476573,unavailable,pubget,,False
19737441,unavailable,pubget,,False
19853720,unavailable,pubget,,False
19926661,unavailable,pubget,,False
20445032,unavailable,pubget,,True
20456294,unavailable,pubget,,False
20648909,unavailable,pubget,,False
21135315,unavailable,pubget,,False
21161758,unavailable,pubget,,False
21225413,unavailable,pubget,,False
21349378,unavailable,pubget,,False
21999689,unavailable,pubget,,False
22228252,unavailable,pubget,,False
23520600,unavailable,pubget,,False
23632569,unavailable,pubget,,False
24217504,unavailable,pubget,,False
24768717,unavailable,pubget,,False
24945709,unavailable,pubget,,False
25170798,unavailable,pubget,,False
25864599,unavailable,pubget,,False
25903153,unavailable,pubget,,False
25990312,unavailable,pubget,,False
26283736,unavailable,pubget,,True
26331843,unavailable,pubget,,True
26650254,unavailable,pubget,,False
26679723,unavailable,pubget,,False
26692110,unavailable,pubget,,False
27505198,unavailable,pubget,,False
28255940,unavailable,pubget,,False
28564556,unavailable,pubget,,False
29017196,unavailable,pubget,,False
29098669,unavailable,pubget,,False
29120924,unavailable,pubget,,False
29388475,unavailable,pubget,,False
29734883,unavailable,pubget,,False
30214041,unavailable,pubget,,False
30451013,unavailable,pubget,,False
31028603,unavailable,pubget,,True
31326358,unavailable,pubget,,False
31898088,unavailable,pubget,,False
32148192,unavailable,pubget,,False
32580914,unavailable,pubget,,False
32720119,unavailable,pubget,,False
32772094,unavailable,pubget,,False
33098179,unavailable,pubget,,True
33142364,unavailable,pubget,,True
33145706,unavailable,pubget,,False
33147505,unavailable,pubget,,False
33225513,unavailable,pubget,,True
33289928,unavailable,pubget,,False
33360853,unavailable,pubget,,False
33417264,unavailable,pubget,,True
33453587,unavailable,pubget,,False
33502720,unavailable,pubget,,True
33587959,unavailable,pubget,,False
33631251,unavailable,pubget,,False
33735709,unavailable,pubget,,False
33742481,unavailable,pubget,,False
33794259,unavailable,pubget,,True
33827335,unavailable,pubget,,False
33853721,unavailable,pubget,,False
33864389,unavailable,pubget,,True
33901056,unavailable,pubget,,True
34132011,unavailable,pubget,,True
34158656,unavailable,pubget,,False
34171325,unavailable,pubget,,False
34312937,unavailable,pubget,,True
34365088,unavailable,pubget,,False
34427358,unavailable,pubget,,True
34463411,unavailable,pubget,,True
34514666,unavailable,pubget,,False
34547636,unavailable,pubget,,False
34600216,unavailable,pubget,,False
34609231,unavailable,pubget,,False
34625215,unavailable,pubget,,False
34687811,unavailable,pubget,,False
34687826,unavailable,pubget,,True
34734391,unavailable,pubget,,True
34786811,unavailable,pubget,,False
34841633,unavailable,pubget,,False
34913220,unavailable,pubget,,False
35007942,unavailable,pubget,,True
35024885,unavailable,pubget,,False
35026761,unavailable,pubget,,True
35066460,unavailable,pubget,,False
35099670,unavailable,pubget,,False
35105221,unavailable,pubget,,False
35175067,unavailable,pubget,,True
35246699,unavailable,pubget,,False
35343882,unavailable,pubget,,False
35451074,unavailable,pubget,,False
35674869,unavailable,pubget,,False
35738424,unavailable,pubget,,False
35754101,unavailable,pubget,,False
35785575,unavailable,pubget,,False
35810622,unavailable,pubget,,False
35850096,unavailable,pubget,,True
35876620,unavailable,pubget,,False
35915548,unavailable,pubget,,True
36029312,unavailable,pubget,,True
36031010,unavailable,pubget,,False
36136203,unavailable,pubget,,True
36301219,unavailable,pubget,,True
36345149,unavailable,pubget,,False
36380640,unavailable,pubget,,False
36416049,unavailable,pubget,,False
36418675,unavailable,pubget,,False
36470225,unavailable,pubget,,True
36536243,unavailable,pubget,,True
36581170,unavailable,pubget,,False
36648091,unavailable,pubget,,False
36692874,unavailable,pubget,,True
36720648,unavailable,pubget,,False
36764599,unavailable,pubget,,True
36855285,unavailable,pubget,,False
36948909,unavailable,pubget,,True
36987598,unavailable,pubget,,True
37016754,unavailable,pubget,,False
37140408,unavailable,pubget,,False
37146484,unavailable,pubget,,False
37161812,unavailable,pubget,,False
37167985,unavailable,pubget,,False
37252876,unavailable,pubget,,True
37252878,unavailable,pubget,,True
37276204,unavailable,pubget,,False
37329519,unavailable,pubget,,False
37400684,unavailable,pubget,,True
37441998,unavailable,pubget,,False
37493019,unavailable,pubget,,False
37577814,unavailable,pubget,,False
37604108,unavailable,pubget,,False
37605635,unavailable,pubget,,True
37678541,unavailable,pubget,,True
37689524,unavailable,pubget,,False
37690585,unavailable,pubget,,False
37690620,unavailable,pubget,,False
37731332,unavailable,pubget,,True
37749782,unavailable,pubget,,False
37753561,unavailable,pubget,,False
37861062,unavailable,pubget,,True
37880829,unavailable,pubget,,False
37890532,unavailable,pubget,,True
37949774,unavailable,pubget,,True
37979478,unavailable,pubget,,False
38017637,unavailable,pubget,,False
38206672,unavailable,pubget,,False
38273429,unavailable,pubget,,False
38281353,unavailable,pubget,,False
38300175,unavailable,pubget,,False
38367535,unavailable,pubget,,True
38376518,unavailable,pubget,,False
38426251,unavailable,pubget,,False
38432622,unavailable,pubget,,True
38679482,unavailable,pubget,,False
38710170,unavailable,pubget,,True
38847535,unavailable,pubget,,False
38908501,unavailable,pubget,,False
38964089,unavailable,pubget,,False
39162577,unavailable,pubget,,False
39178637,unavailable,pubget,,True
39197549,unavailable,pubget,,True
39313561,unavailable,pubget,,False
39323104,unavailable,pubget,,False
39326740,unavailable,pubget,,True
39353226,unavailable,pubget,,False
39397386,unavailable,pubget,,False
39523055,unavailable,pubget,,False
39530592,unavailable,pubget,,True
39591619,unavailable,pubget,,False
39607733,unavailable,pubget,,True
39665462,unavailable,pubget,,False
39667495,unavailable,pubget,,True
39702947,unavailable,pubget,,False
39753153,unavailable,pubget,,False
39889945,unavailable,pubget,,False
39929057,unavailable,pubget,,False
39971120,unavailable,pubget,,True
39973027,unavailable,pubget,,False
40082646,unavailable,pubget,,True
40169911,unavailable,pubget,,False
40289188,unavailable,pubget,,False
40300301,unavailable,pubget,,False
40342086,unavailable,pubget,,False
40347309,unavailable,pubget,,False
40439418,unavailable,pubget,,False
40441339,unavailable,pubget,,True
40451996,unavailable,pubget,,False
40500419,unavailable,pubget,,True
40528148,unavailable,pubget,,True
40681661,unavailable,pubget,,False
40749271,unavailable,pubget,,True
40859695,unavailable,pubget,,True
40884840,unavailable,pubget,,False
41025421,unavailable,pubget,,False
41032574,unavailable,pubget,,False
41129865,unavailable,pubget,,False
41171562,unavailable,pubget,,False
41224247,unavailable,pubget,,False
41274369,unavailable,pubget,,False
41343353,unavailable,pubget,,False
41534246,unavailable,pubget,,True
41553151,unavailable,pubget,,False
41610562,unavailable,pubget,,False
41650683,unavailable,pubget,,False
41655820,unavailable,pubget,,False
41691824,unavailable,pubget,,False
41734320,unavailable,pubget,,False
8826538,unavailable,pubget,,False
